Question,Ground Truth,Answer,Exact  Accuracy
Which manufactor process organic cotton and power from renewable energy?,"power_from('empowering-technologies.com', fossil).
power_from('empowering-technologies.com', water).
power_from('www.cleanenergyfuels.com', fossil).
power_from('www.cleanenergyfuels.com', water).
power_from('www.energymfg.com', fossil).
power_from('www.energymfg.com', water).
power_from('www.fluidenergype.com', fossil).
power_from('www.fluidenergype.com', water).
power_from('www.signalandpower.com', fossil).
power_from('www.signalandpower.com', water).",www.signalandpower.com',0.4
Which manufactor have FSC certification and power from renewable energy?,"power_from('149401-us.all.biz', fossil).
power_from('149401-us.all.biz', water).
power_from('149401-us.all.biz', wind).",149401-us.all.biz,1
Which manufactor work on logistics service and power from renewable energy?,"power_from('empowering-technologies.com', fossil).
power_from('empowering-technologies.com', water).
power_from('fishermanufacturingservices.com', fossil).
power_from('hess-services.com', fossil).
power_from('hess-services.com', water).
power_from('pioneerserviceinc.com', fossil).
power_from('rrmachineservice.com', fossil).
power_from('rrmachineservice.com', wind).",fishermanufacturingservices.com?rrmachineservice.com?pioneerserviceinc.com,0.4
Which manufactor belong to marine industry and use renewable energy?,"power_from('asq.org', fossil).
power_from('asq.org', water).
power_from('atlasmachine.com', fossil).
power_from('atlasmachine.com', water).
power_from('www.cleanenergyfuels.com', fossil).
power_from('www.cleanenergyfuels.com', water).
power_from('www.energymfg.com', fossil).
power_from('www.energymfg.com', water).
power_from('www.fluidenergype.com', fossil).
power_from('www.fluidenergype.com', water).","www.cleanenergyfuels.com'
'www.energymfg.com'
'www.fluidenergype.com'",0.6
Which manufactor process recycled plastic and power from renewable energy?,"power_from('alliedplastics.com', fossil).
power_from('alliedplastics.com', wind).
power_from('apexplasticfinishing.com', fossil).
power_from('apexplasticfinishing.com', wind).
power_from('azmexplastics.com', fossil).
power_from('azmexplastics.com', water).
power_from('bteplastics.com', fossil).
power_from('canyonplastics.com', fossil).
power_from('canyonplastics.com', water).","alliedplastics.com
apexplasticfinishing.com
azmexplastics.com
canyonplastics.com",0.8
Which manufactor have LEED certification and use renewable energy?,"power_from('leed-himmel.com', fossil).
power_from('leed-himmel.com', wind).
power_from('leedhimmelextrusions.com', fossil).
power_from('leedhimmelextrusions.com', water).
power_from('www.cleanenergyfuels.com', fossil).
power_from('www.cleanenergyfuels.com', water).
power_from('www.energymfg.com', fossil).
power_from('www.energymfg.com', water).
power_from('www.fluidenergype.com', fossil).
power_from('www.fluidenergype.com', water).","leed-himmel.com, leedhimmelextrusions.com, www.energymfg.com, and www.fluidenergype.com.",0.8
Which manufactor work on healthcare service and power from renewable energy?,"power_from('empowering-technologies.com', fossil).
power_from('empowering-technologies.com', water).
power_from('fishermanufacturingservices.com', fossil).
power_from('hess-services.com', fossil).
power_from('hess-services.com', water).
power_from('pioneerserviceinc.com', fossil).
power_from('rrmachineservice.com', fossil).
power_from('rrmachineservice.com', wind).","empowering-technologies.com, fishermanufacturingservices.com",0.45
Which manufactor belong to electronics industry and use renewable energy?,"power_from('arkelectronics.com', fossil).
power_from('arkelectronics.com', water).
power_from('jemelectronics.com', fossil).
power_from('jemelectronics.com', wind).
power_from('www.aceelectronics.com', fossil).
power_from('www.aceelectronics.com', wind).
power_from('www.cirtek-electronics.com', fossil).
power_from('www.cirtek-electronics.com', wind).
power_from('www.empireelectronics.com', fossil).
power_from('www.empireelectronics.com', wind).","arkelectronics.com, jemelectronics.com, www.aceelectronics.com, www.cirtek-electronics.com, www.empireelectronics.com.",1
Which manufactor process fiber and power from renewable energy?,"power_from('empowering-technologies.com', fossil).
power_from('empowering-technologies.com', water).
power_from('www.energymfg.com', fossil).
power_from('www.energymfg.com', water).
power_from('www.fluidenergype.com', fossil).
power_from('www.fluidenergype.com', water).
power_from('www.moldedfiberglass.com', fossil).
power_from('www.moldedfiberglass.com', water).
power_from('www.moldedfiberglass.com', wind).
power_from('www.signalandpower.com', fossil).
power_from('www.signalandpower.com', water).",empowering-technologies.com and www.moldedfiberglass.com.,0.4
Which manufactor have PAS2060 certification and use renewable energy?,"power_from('www.cleanenergyfuels.com', fossil).
power_from('www.cleanenergyfuels.com', water).
power_from('www.energybeams.com', fossil).
power_from('www.energymfg.com', fossil).
power_from('www.energymfg.com', water).
power_from('www.fluidenergype.com', fossil).
power_from('www.fluidenergype.com', water).",www.cleanenergyfuels.com,0.33
